,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Albert Village,Maria,Wood,49,Head,Divorced,Female,Chiropodist,None,Catholic
1,2,Albert Village,Mohammed,Rose,65,Head,Widowed,Male,"Lecturer, further education",None,None
2,3,Albert Village,Joe,Smith,23,Head,Single,Male,"Investment banker, operational",None,None
3,3,Albert Village,Zoe,Daly,61,None,Single,Female,"Scientist, research (medical)",None,None
4,3,Albert Village,Dominic,Naylor,54,None,Single,Male,Microbiologist,None,Christian
5,4,Albert Village,Lawrence,Noble,66,Head,Widowed,Male,Call centre manager,None,None
6,5,Albert Village,Jason,Fletcher,71,Head,Married,male,Retired Town planner,None,None
7,5,Albert Village,Gemma,Fletcher,67,Wife,Married,Female,"Therapist, nutritional",None,None
8,1,Waterloo Estates,Charlotte,Williams,55,Head,Single,Female,Unemployed,None,None
9,1,Waterloo Estates,Julie,Williams,22,Daughter,Single,Female,University Student,None,None
10,1,Waterloo Estates,Katherine,Hart,18,Daughter,Single,Female,Student,None,None
11,2,Waterloo Estates,Gillian,Harrison,82,Head,Married,Female,Retired Race relations officer,None,Muslim
12,2,Waterloo Estates,Denis,Harrison,85,Husband,Married,Male,Retired Interpreter,None,Muslim
13,3,Waterloo Estates,Jacqueline,Reed,75,Head,Widowed,Female,Retired Theatre manager,None,Christian
14,4,Waterloo Estates,Charlie,Robinson,29,Head,Single,Male,Sports coach,Unknown Infection,None
15,5,Waterloo Estates,Paige,Hughes,67,Head,Married,Female,Soil scientist,None,Christian
16,5,Waterloo Estates,Douglas,Hughes,69,Husband,Married,Male,Retired Adult guidance worker,None,None
17,6,Waterloo Estates,Irene,Chambers,38,Head,Widowed,Female,Writer,None,None
18,7,Waterloo Estates,Connor,King,39,Head,Single,Male,Geographical information systems officer,None,Catholic
19,8,Waterloo Estates,Cheryl,Clark,22,Head,Married,Female,University Student,None,None
20,8,Waterloo Estates,Sean,Clark,30,Husband,Married,Male,"Lighting technician, broadcasting/film/video",None,None
21,9,Waterloo Estates,Andrea,Smith,35,Head,Single,Female,Technical sales engineer,None,Catholic
22,10,Waterloo Estates,Lucy,Walters,60,Head,Divorced,Female,"Programmer, systems",None,Methodist
23,11,Waterloo Estates,Barry,Hill,73,Head,Widowed,Male,Retired Aeronautical engineer,None,Methodist
24,12,Waterloo Estates,Shaun,Baker,54,Head,Single,Male,Unemployed,None,Christian
25,13,Waterloo Estates,Jodie,Sinclair,73,Head,Widowed,Female,Retired Science writer,None,Catholic
26,14,Waterloo Estates,Alison,Turner,39,Head,Single,Female,"Teacher, adult education",None,Christian
